target,value,source,AVERAGE_ANNUAL_PAY
APPLE INC.,150,SANTA CLARA COUNTY,83824
APPLE INC.,150,SANTA CLARA COUNTY,98488
APPLE INC.,150,SANTA CLARA COUNTY,94120
APPLE INC.,150,SANTA CLARA COUNTY,131269
APPLE INC.,150,SANTA CLARA COUNTY,88254
APPLE INC.,150,SANTA CLARA COUNTY,121410
APPLE INC.,150,SANTA CLARA COUNTY,134410
APPLE INC.,150,SANTA CLARA COUNTY,163467
APPLE INC.,150,SANTA CLARA COUNTY,99466
APPLE INC.,150,SANTA CLARA COUNTY,74006
APPLE INC.,150,SANTA CLARA COUNTY,132038
APPLE INC.,150,SANTA CLARA COUNTY,66602
APPLE INC.,150,SANTA CLARA COUNTY,63856
APPLE INC.,150,SANTA CLARA COUNTY,58885
APPLE INC.,150,SANTA CLARA COUNTY,104042
APPLE INC.,150,SANTA CLARA COUNTY,88962
APPLE INC.,150,SANTA CLARA COUNTY,154107
APPLE INC.,150,SANTA CLARA COUNTY,123053
APPLE INC.,150,SANTA CLARA COUNTY,109470
APPLE INC.,150,SANTA CLARA COUNTY,36046
APPLE INC.,150,SANTA CLARA COUNTY,132038
APPLE INC.,150,SANTA CLARA COUNTY,98488
"JUNIPER NETWORKS, INC.",150,SANTA CLARA COUNTY,174244
APPLE INC.,150,SANTA CLARA COUNTY,94598
APPLE INC.,150,SANTA CLARA COUNTY,60528
APPLE INC.,150,SANTA CLARA COUNTY,117187
APPLE INC.,150,SANTA CLARA COUNTY,104832
APPLE INC.,150,SANTA CLARA COUNTY,71032
APPLE INC.,150,SANTA CLARA COUNTY,69784
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,100,SAN FRANCISCO COUNTY,130121
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,94162
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,109408
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,76918
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,149490
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,114400
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,109408
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,100006
ADOBE SYSTEMS INCORPORATED,100,SAN FRANCISCO COUNTY,117229
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,107671
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,108918
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,109169
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,112411
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,114831
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,117481
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,125043
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,126188
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,127156
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,127366
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,128690
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,129860
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,131346
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,137199
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,140261
"SYNOPSYS, INC.",100,SANTA CLARA COUNTY,146871
