target,value,source,pay
APPLE,150,SANTA CLARA,83824
APPLE,150,SANTA CLARA,98488
APPLE,150,SANTA CLARA,94120
APPLE,150,SANTA CLARA,131269
APPLE,150,SANTA CLARA,88254
APPLE,150,SANTA CLARA,121410
APPLE,150,SANTA CLARA,134410
APPLE,150,SANTA CLARA,163467
APPLE,150,SANTA CLARA,99466
APPLE,150,SANTA CLARA,74006
APPLE,150,SANTA CLARA,132038
APPLE,150,SANTA CLARA,66602
APPLE,150,SANTA CLARA,63856
APPLE,150,SANTA CLARA,58885
APPLE,150,SANTA CLARA,104042
APPLE,150,SANTA CLARA,88962
APPLE,150,SANTA CLARA,154107
APPLE,150,SANTA CLARA,123053
APPLE,150,SANTA CLARA,109470
APPLE,150,SANTA CLARA,36046
APPLE,150,SANTA CLARA,132038
APPLE,150,SANTA CLARA,98488
JUNIPER NETWORKS,150,SANTA CLARA,174244
APPLE,150,SANTA CLARA,94598
APPLE,150,SANTA CLARA,60528
APPLE,150,SANTA CLARA,117187
APPLE,150,SANTA CLARA,104832
APPLE,150,SANTA CLARA,71032
APPLE,150,SANTA CLARA,69784
PRICEWATERHOUSECOOPERS,100,SAN FRANCISCO,130121
ADOBE,100,SAN FRANCISCO,94162
ADOBE,100,SAN FRANCISCO,109408
ADOBE,100,SAN FRANCISCO,76918
ADOBE,100,SAN FRANCISCO,149490
ADOBE,100,SAN FRANCISCO,114400
ADOBE,100,SAN FRANCISCO,109408
ADOBE,100,SAN FRANCISCO,100006
ADOBE,100,SAN FRANCISCO,117229
SYNOPSYS,100,SANTA CLARA,107671
SYNOPSYS,100,SANTA CLARA,108918
SYNOPSYS,100,SANTA CLARA,109169
SYNOPSYS,100,SANTA CLARA,112411
SYNOPSYS,100,SANTA CLARA,114831
SYNOPSYS,100,SANTA CLARA,117481
SYNOPSYS,100,SANTA CLARA,125043
SYNOPSYS,100,SANTA CLARA,126188
SYNOPSYS,100,SANTA CLARA,127156
SYNOPSYS,100,SANTA CLARA,127366
SYNOPSYS,100,SANTA CLARA,128690
SYNOPSYS,100,SANTA CLARA,129860
SYNOPSYS,100,SANTA CLARA,131346
SYNOPSYS,100,SANTA CLARA,137199
SYNOPSYS,100,SANTA CLARA,140261
SYNOPSYS,100,SANTA CLARA,146871
SYNOPSYS,100,SANTA CLARA,146871
SYNOPSYS,100,SANTA CLARA,149616
SYNOPSYS,100,SANTA CLARA,150108
SYNOPSYS,100,SANTA CLARA,152134
SYNOPSYS,100,SANTA CLARA,153096
SYNOPSYS,100,SANTA CLARA,153812
SYNOPSYS,100,SANTA CLARA,168547
SYNOPSYS,100,SANTA CLARA,168834
SYNOPSYS,100,SANTA CLARA,170142
SYNOPSYS,100,SANTA CLARA,170371
SYNOPSYS,100,SANTA CLARA,171716
SYNOPSYS,100,SANTA CLARA,171863
SYNOPSYS,100,SANTA CLARA,172854
ADOBE,100,SANTA CLARA,109762
ADOBE,100,SANTA CLARA,131269
ADOBE,100,SANTA CLARA,77563
ADOBE,100,SANTA CLARA,110157
ADOBE,100,SANTA CLARA,132038
ADOBE,100,SANTA CLARA,110157
ADOBE,100,SANTA CLARA,148928
ADOBE,100,SANTA CLARA,115253
SYNTEL,100,ALAMEDA,60029
SYNTEL,100,ALAMEDA,60029
FACEBOOK,30,SAN MATEO,106000
FACEBOOK,30,SAN MATEO,106000
FACEBOOK,30,SAN MATEO,110000
FACEBOOK,30,SAN MATEO,110000
FACEBOOK,30,SAN MATEO,110000
FACEBOOK,30,SAN MATEO,133727
FACEBOOK,30,SAN MATEO,133727
FACEBOOK,30,SAN MATEO,131000
FACEBOOK,30,SAN MATEO,131000
FACEBOOK,30,SAN MATEO,131000
FACEBOOK,30,SAN MATEO,158500
FACEBOOK,30,SAN MATEO,158500
FACEBOOK,30,SAN MATEO,158500
FACEBOOK,30,SAN MATEO,159000
FACEBOOK,30,SAN MATEO,162500
SYMANTEC,25,SANTA CLARA,99127
SYMANTEC,25,SANTA CLARA,117212
SYMANTEC,25,SANTA CLARA,149350
SYMANTEC,25,SANTA CLARA,139751
SYMANTEC,25,SANTA CLARA,167421
NVIDIA,30,SANTA CLARA,88470
NVIDIA,30,SANTA CLARA,88470
NVIDIA,30,SANTA CLARA,88877
NVIDIA,30,SANTA CLARA,90225
NVIDIA,30,SANTA CLARA,90225
NVIDIA,30,SANTA CLARA,87893
NVIDIA,30,SANTA CLARA,93621
NVIDIA,30,SANTA CLARA,90691
NVIDIA,30,SANTA CLARA,96152
NVIDIA,30,SANTA CLARA,96313
NVIDIA,30,SANTA CLARA,105085
NVIDIA,30,SANTA CLARA,105085
NVIDIA,30,SANTA CLARA,106153
NVIDIA,30,SANTA CLARA,106153
NVIDIA,30,SANTA CLARA,104468
NVIDIA,30,SANTA CLARA,104468
NVIDIA,30,SANTA CLARA,105459
NVIDIA,30,SANTA CLARA,105459
NVIDIA,30,SANTA CLARA,108961
NVIDIA,30,SANTA CLARA,109178
NVIDIA,30,SANTA CLARA,107802
NVIDIA,30,SANTA CLARA,108819
NVIDIA,30,SANTA CLARA,121953
NVIDIA,30,SANTA CLARA,121953
NVIDIA,30,SANTA CLARA,122625
NVIDIA,30,SANTA CLARA,125218
NVIDIA,30,SANTA CLARA,125475
NVIDIA,30,SANTA CLARA,125611
NVIDIA,30,SANTA CLARA,125611
NVIDIA,30,SANTA CLARA,126427
NVIDIA,30,SANTA CLARA,126427
NVIDIA,30,SANTA CLARA,129382
