EMPLOYER_NAME,target,value,source,pay,index,odd
A2Z DEVELOPMENT CENTER,A2Z Development,1,SANTA CLARA COUNTY,131300,1,0
A2Z DEVELOPMENT CENTER,A2Z Development,1,SANTA CLARA COUNTY,127000,3,0
"A2Z DEVELOPMENT CENTER , INC.",A2Z Development,1,SANTA CLARA COUNTY,110000,5,0
"A2Z DEVELOPMENT CENTER , INC.",A2Z Development,1,SANTA CLARA COUNTY,145000,7,0
"A2Z DEVELOPMENT CENTER , INC.",A2Z Development,1,SANTA CLARA COUNTY,125000,9,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,150000,11,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,175000,13,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,120000,15,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,110000,17,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,117700,19,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,111511,21,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,141850,23,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,141850,25,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,141850,27,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,145900,29,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,5,SANTA CLARA COUNTY,144521,31,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,5,SANTA CLARA COUNTY,144521,33,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,5,SANTA CLARA COUNTY,151093.5,35,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,5,SANTA CLARA COUNTY,141850,37,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,120100,39,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,133000,41,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,119935,43,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,132100,45,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,103800,47,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,160000,49,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,170100,51,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,139400,53,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SAN FRANCISCO COUNTY,158000,55,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,5,SANTA CLARA COUNTY,153454.5,57,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,149200,59,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,125000,61,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,138900,63,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,119100,65,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,119100,67,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,135000,69,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,119100,71,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,142100,73,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,150000,75,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,136000,77,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,125500,79,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,50,SANTA CLARA COUNTY,109727,81,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,50,SANTA CLARA COUNTY,146581,83,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,25,SANTA CLARA COUNTY,114844,85,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,25,SANTA CLARA COUNTY,109727,87,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,25,SANTA CLARA COUNTY,146581,89,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SANTA CLARA COUNTY,114844,91,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SANTA CLARA COUNTY,112395,93,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SANTA CLARA COUNTY,132658.5,95,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SANTA CLARA COUNTY,132658.5,97,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,15,SANTA CLARA COUNTY,100000,99,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,90201,101,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,100950,103,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,100950,105,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,100950,107,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,118094,109,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,105900,111,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,116550,113,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,116550,115,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,140976.5,117,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,126300,119,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,126300,121,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,132200,123,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,132200,125,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,157719,127,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,149326.5,129,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,138999,131,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,157719,133,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,138950,135,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,150293.5,137,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,84142,139,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,82551,141,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,112337.5,143,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,108261,145,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,100950,147,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,134087.5,149,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,134087.5,151,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,155482.5,153,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,153881,155,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,153881,157,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,152450,159,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,152450,161,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,153454.5,163,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,110700,165,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,114800,167,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,120000,169,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,120000,171,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,174600,173,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,156865.5,175,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,105000,177,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,125000,179,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,125000,181,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,178300,183,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,125000,185,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,137500,187,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,145000,189,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,170000,191,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,135000,193,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,126100,195,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,137500,197,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,128100,199,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,119935,201,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,110000,203,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,135700,205,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,113600,207,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,155000,209,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,113000,211,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,146500,213,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,114900,215,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,122000,217,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,114900,219,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,130000,221,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,170000,223,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,147100,225,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,131500,227,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,130000,229,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,131040,231,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,183900,233,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SAN FRANCISCO COUNTY,117500,235,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SAN FRANCISCO COUNTY,110000,237,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SAN FRANCISCO COUNTY,117500,239,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SAN FRANCISCO COUNTY,117500,241,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SAN FRANCISCO COUNTY,147500,243,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,95000,245,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,247,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,125000,249,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,251,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,120000,253,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,120000,255,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,257,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,259,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,120000,261,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,130000,263,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,130000,265,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,130000,267,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,135000,269,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,150000,271,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,178413,273,0
"A2Z DEVELOPMENT CENTER, INC. D/B/A LAB 126",A2Z Development,5,SANTA CLARA COUNTY,132200,275,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,131269,277,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157,279,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157,281,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,115253,283,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,106470.5,285,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,127176.5,287,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,141269,289,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,143099.5,291,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,131269,293,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,116272,295,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,85987,297,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,100000,299,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130055,301,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000,303,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145000,305,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152776,307,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,104000,309,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,116774,311,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,115000,313,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,315,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,132000,317,0
