EMPLOYER_NAME,target,value,source,pay,index,odd
A2Z DEVELOPMENT CENTER,A2Z Development,1,SANTA CLARA COUNTY,127000,2,0
"A2Z DEVELOPMENT CENTER , INC.",A2Z Development,1,SANTA CLARA COUNTY,145000,4,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,150000,6,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,120000,8,0
A2Z DEVELOPMENT CENTER INC,A2Z Development,1,SANTA CLARA COUNTY,117700,10,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,141850,12,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,10,SANTA CLARA COUNTY,141850,14,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,5,SANTA CLARA COUNTY,144521,16,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,5,SANTA CLARA COUNTY,151093.5,18,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,120100,20,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,119935,22,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,103800,24,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SANTA CLARA COUNTY,170100,26,0
A2Z DEVELOPMENT CENTER INC.,A2Z Development,1,SAN FRANCISCO COUNTY,158000,28,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,149200,30,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,138900,32,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,119100,34,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,119100,36,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,150000,38,0
"A2Z DEVELOPMENT CENTER, INC",A2Z Development,1,SANTA CLARA COUNTY,125500,40,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,50,SANTA CLARA COUNTY,146581,42,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,25,SANTA CLARA COUNTY,109727,44,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SANTA CLARA COUNTY,114844,46,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SANTA CLARA COUNTY,132658.5,48,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,15,SANTA CLARA COUNTY,100000,50,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,100950,52,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,100950,54,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,105900,56,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,116550,58,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,126300,60,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,132200,62,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,157719,64,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,138999,66,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SANTA CLARA COUNTY,138950,68,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,84142,70,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,112337.5,72,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,100950,74,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,134087.5,76,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,153881,78,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,152450,80,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,5,SANTA CLARA COUNTY,153454.5,82,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,114800,84,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,120000,86,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,156865.5,88,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,125000,90,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,178300,92,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,137500,94,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,170000,96,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,126100,98,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,128100,100,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,110000,102,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,113600,104,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,113000,106,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,114900,108,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,114900,110,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,170000,112,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,131500,114,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SANTA CLARA COUNTY,131040,116,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,20,SAN FRANCISCO COUNTY,117500,118,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SAN FRANCISCO COUNTY,117500,120,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,10,SAN FRANCISCO COUNTY,147500,122,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,124,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,126,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,120000,128,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,117500,130,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,130000,132,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,130000,134,0
"A2Z DEVELOPMENT CENTER, INC.",A2Z Development,1,SAN FRANCISCO COUNTY,150000,136,0
"A2Z DEVELOPMENT CENTER, INC. D/B/A LAB 126",A2Z Development,5,SANTA CLARA COUNTY,132200,138,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157,140,0
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,115253,142,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,127176.5,144,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,143099.5,146,0
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,116272,148,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,100000,150,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000,152,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152776,154,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,116774,156,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,158,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,137500,160,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,126547,162,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,164,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,109762,166,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000,168,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,78208,170,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,127901,172,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,135000,174,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152663,176,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,117810,178,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145132,180,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145000,182,0
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000,184,0
